table,variable,type
fighters,fighter_id,numeric
fighters,fighter_f_name,character
fighters,fighter_l_name,character
fighters,fighter_nickname,character
fighters,fighter_height_cm,numeric
fighters,fighter_weight_lbs,numeric
fighters,fighter_reach_cm,numeric
fighters,fighter_stance,character
fighters,fighter_dob,Date
fighters,fighter_w,numeric
fighters,fighter_l,numeric
fighters,fighter_d,numeric
fighters,fighter_nc_dq,numeric
fighters,fighter_url,character
fight_stat,fight_stat_id,numeric
fight_stat,fight_id,numeric
fight_stat,fighter_id,numeric
fight_stat,knockdowns,numeric
fight_stat,total_strikes_att,numeric
fight_stat,total_strikes_succ,numeric
fight_stat,sig_strikes_att,numeric
fight_stat,sig_strikes_succ,numeric
fight_stat,takedown_att,numeric
fight_stat,takedown_succ,numeric
fight_stat,submission_att,numeric
fight_stat,reversals,numeric
fight_stat,ctrl_time,character
fight_stat,fight_url,character
events,event_id,numeric
events,event_name,character
events,event_date,Date
events,event_city,character
events,event_state,character
events,event_country,character
events,event_url,character
fight_data,fight_id,numeric
fight_data,event_id,numeric
fight_data,referee,character
fight_data,f_1,numeric
fight_data,f_2,numeric
fight_data,winner,numeric
fight_data,num_rounds,character
fight_data,title_fight,logical
fight_data,weight_class,character
fight_data,gender,character
fight_data,result,character
fight_data,result_details,character
fight_data,finish_round,numeric
fight_data,finish_time,"hms, difftime"
fight_data,fight_url,character
